country,1996,2002,2005,2008,2012,2000,1986,1987,1991,1992,1993,1994,1995,1997,1998,1999,2001,2003,2004,2006,2007,2009,2010,2011,2013,2014,1983,1985,1988,1990,1981,1982,1984,1989
Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.38,NA,NA,87.14,NA,NA,76.22,NA,NA,NA,71.27,NA,NA,NA,NA,NA,NA,NA,91.54,NA,NA,NA
Europe & Central Asia,18.43,14.39,10.79,7.36,6.91,NA,NA,7.07,NA,NA,14.3,NA,NA,NA,NA,20.04,NA,NA,NA,NA,NA,NA,7.35,7.14,6.47,NA,NA,NA,NA,10.18,NA,NA,NA,NA
Fiji,NA,21.89,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fragile and conflict affected situations,62.92,59.59,59.05,57.55,56.09,NA,NA,59.02,NA,NA,64.33,NA,NA,NA,NA,59.28,NA,NA,NA,NA,NA,NA,56.95,57.07,55.24,NA,NA,NA,NA,59.25,56.64,NA,59.41,NA
Gabon,NA,NA,24.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.86,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,17.15,39.75,36.54,35.11,34.56,45.08,NA,NA,NA,NA,NA,NA,NA,36.76,35.16,42.12,47.3,40,37.17,34.09,37.17,35.76,38.61,36.84,28.58,25.27,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,NA,NA,49.04,NA,NA,NA,NA,71.56,75.52,NA,NA,NA,NA,NA,60.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.76,NA,NA,NA,NA,NA
Guatemala,NA,NA,NA,NA,NA,22.22,69.65,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,23.69,NA,NA,NA,26.47,NA,24.05,NA,NA,NA,NA,NA,NA,NA,55.03
Guinea,NA,83.07,NA,NA,68.65,NA,NA,NA,98.49,NA,NA,71.3,NA,NA,NA,NA,NA,NA,NA,NA,81.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
